Recipient,Total,From Individuals,From Organization,Recipient Type,View
Democratic Party of Hawaii,9102,9102,0,Political Party,Democrat
Indiana Democratic Congressional Victory Cmte,9102,9102,0,Political Party,Democrat
Democratic Party of New Mexico,9102,9102,0,Political Party,Democrat
Democratic Party of Oregon,9073,9073,0,Political Party,Democrat
"Brown, Sherrod",9070,6570,2500,Candidate (D-OHS1),Democrat
"Miller-Meeks, Mariannette",9000,0,9000,Candidate (R-IA01),Republican
"Alsobrooks, Angela",8872,3872,5000,Candidate (D-MDS1),Democrat
"Blackburn, Marsha",8500,0,8500,Candidate (R-TNS1),Republican
"Peters, Scott",8500,0,8500,Candidate (D-CA50),Democrat
"Bera, Ami",8300,5800,2500,Candidate (D-CA06),Democrat
"Scalise, Steve",8043,543,7500,Candidate (R-LA01),Republican
"Smith, Adrian",8000,0,8000,Candidate (R-NE03),Republican
Oorah! PAC,7500,0,7500,LeadPAC,Republican
Beyond Thoughts & Prayers PAC,7500,0,7500,LeadPAC,Democrat
BRETTPAC,7500,0,7500,LeadPAC,Republican
Big Sky Opportunity PAC,7500,0,7500,LeadPAC,Republican
"Ruiz, Raul",7500,0,7500,Candidate (D-CA25),Democrat
"Curtis, John",7500,0,7500,Candidate (R-UT03),Republican
Blue Hen PAC,7500,0,7500,LeadPAC,Democrat
Together Holding Our Majority PAC,7500,0,7500,LeadPAC,Republican
"Hern, Kevin",7500,0,7500,Candidate (R-OK01),Republican
"Baldwin, Tammy",7464,7464,0,Candidate (D-WIS1),Democrat
Democratic Party of Montana,7329,7329,0,Political Party,Democrat
"DeSantis, Ron",7197,7197,0,Candidate (R-PRES),Republican
Missouri Democratic State Cmte,7044,7044,0,Political Party,Democrat
"Swalwell, Eric",7020,20,7000,Candidate (D-CA14),Democrat
CMR PAC,7000,0,7000,LeadPAC,Republican
"Johnson, Mike",6702,6702,0,Candidate (R-LA04),Republican
"Craig, Angie",6602,6602,0,Candidate (D-MN02),Democrat
"Pallone, Frank Jr",6500,0,6500,Candidate (D-NJ06),Democrat
"Eshoo, Anna",6500,0,6500,Candidate (D-CA16),Democrat
"Kelly, Robin",6500,0,6500,Candidate (D-IL02),Democrat
"Boyle, Brendan",6500,1000,5500,Candidate (D-PA02),Democrat
Alamo PAC,6500,0,6500,LeadPAC,Republican
"Schneider, Brad",6500,0,6500,Candidate (D-IL10),Democrat
"Hogan, Larry",6405,1405,5000,Candidate (R-MDS1),Republican
"Peltola, Mary",6302,6302,0,Candidate (D-AK01),Democrat
"McCarthy, Kevin",6131,131,6000,Candidate (R-CA20),Republican
"Gottheimer, Josh",6000,0,6000,Candidate (D-NJ05),Democrat
"DelBene, Suzan",6000,0,6000,Candidate (D-WA01),Democrat
"Harshbarger, Diana",6000,0,6000,Candidate (R-TN01),Republican
"Bilirakis, Gus",6000,0,6000,Candidate (R-FL12),Republican
"Bell, Wesley",5875,5875,0,Candidate (D-MO01),Democrat
"Comer, James",5800,800,5000,Candidate (R-KY01),Republican
"Scott, Tim",5748,748,5000,Candidate (R-SCS1),Republican
"Jones, Mondaire",5556,5556,0,Candidate (D-NY17),Democrat
"Barrasso, John",5503,3,5500,Candidate (R-WYS1),Republican
Holding Onto Oregon's Priorities,5500,0,5500,LeadPAC,Democrat
Common Sense Maryland,5440,5440,0,Outside Group,Conservative
"Vindman, Yevgeny 'Eugene'",5370,5370,0,Candidate (D-VA07),Democrat
"Ansari, Yassamin",5250,5250,0,Candidate (D-AZ03),Democrat
"Sewell, Terri",5000,0,5000,Candidate (D-AL07),Democrat
"Arrington, Jodey",5000,5000,0,Candidate (R-TX19),Republican
Heartland Values PAC,5000,0,5000,Carey,Republican
"Bucshon, Larry",5000,0,5000,Candidate (R-IN08),Republican
"Obernolte, Jay",5000,0,5000,Candidate (R-CA23),Republican
Building & Restoring the American Dream,5000,0,5000,LeadPAC,Republican
Health Jobs Justice,5000,5000,0,LeadPAC,Democrat
"Matsui, Doris",5000,0,5000,Candidate (D-CA07),Democrat
"LaHood, Darin",5000,0,5000,Candidate (R-IL16),Republican
"Mullin, Kevin",5000,0,5000,Candidate (D-CA15),Democrat
Boots PAC,5000,0,5000,LeadPAC,Republican
"Rodgers, Cathy McMorris",5000,0,5000,Candidate (R-WA05),Republican
People's Voice PAC,5000,5000,0,LeadPAC,Democrat
Mitten PAC,5000,5000,0,LeadPAC,Democrat
"Clarke, Yvette",5000,0,5000,Candidate (D-NY09),Democrat
Democratic Party of Delaware,5000,0,5000,Political Party,Democrat
Treasure State PAC,5000,0,5000,LeadPAC,Democrat
Common Ground PAC,5000,0,5000,LeadPAC,Democrat
"Neal, Richard E",5000,0,5000,Candidate (D-MA01),Democrat
"Carter, Buddy",5000,0,5000,Candidate (R-GA01),Republican
Continuing America's Strength & Security,5000,0,5000,LeadPAC,Republican
"DeGette, Diana",5000,0,5000,Candidate (D-CO01),Democrat
"Buchanan, Vernon",5000,0,5000,Candidate (R-FL16),Republican
"Ernst, Joni",5000,0,5000,Candidate (R-IAS2),Republican
"Latimer, George",5000,5000,0,Candidate (D-NY16),Democrat
"Kean, Thomas H Jr",4500,1000,3500,Candidate (R-NJ07),Republican
"Johnson, Hank",4500,0,4500,Candidate (D-GA04),Democrat
"Griffith, Morgan",4500,0,4500,Candidate (R-VA09),Republican
"Bynum, Janelle",4314,4314,0,Candidate (D-OR05),Democrat
"Perez, Marie Gluesenkamp",4302,4302,0,Candidate (D-WA03),Democrat
"Torres, Ritchie",4300,4300,0,Candidate (D-NY15),Democrat
"Wild, Susan",4152,4152,0,Candidate (D-PA07),Democrat
"Ferguson, Drew",4000,0,4000,Candidate (R-GA03),Republican
Common Values PAC,4000,0,4000,LeadPAC,Republican
"Johnson, Bill",4000,0,4000,Candidate (R-OH06),Republican
"Schiff, Adam",3994,3994,0,Candidate (D-CA30),Democrat
"Stelson, Janelle",3935,3935,0,Candidate (D-PA10),Democrat
"Schrier, Kim",3825,3825,0,Candidate (D-WA08),Democrat
"Nez, Jonathan",3825,3825,0,Candidate (D-AZ02),Democrat
"Osborn, Dan",3810,3810,0,Candidate (I-NES1),Independent
"Horsford, Steven",3800,300,3500,Candidate (D-NV04),Democrat
"Gallego, Ruben",3759,3759,0,Candidate (D-AZ03),Democrat
"Vargas, Tony",3689,3689,0,Candidate (D-NE02),Democrat
"Kaine, Tim",3596,96,3500,Candidate (D-VAS1),Democrat
"Salinas, Andrea",3552,3552,0,Candidate (D-OR06),Democrat
"Cooke, Rebecca",3535,3535,0,Candidate (D-WI03),Democrat
"Murphy, Christopher S",3520,3520,0,Candidate (D-CTS1),Democrat
"Gillen, Laura",3514,3514,0,Candidate (D-NY04),Democrat
"Coleman, Bonnie Watson",3500,0,3500,Candidate (D-NJ12),Democrat
"Trahan, Lori",3500,0,3500,Candidate (D-MA03),Democrat
"Ross, Deborah",3500,1000,2500,Candidate (D-NC02),Democrat
"Auchincloss, Jake",3500,2500,1000,Candidate (D-MA04),Democrat
"Busch, Emily",3489,3489,0,Candidate (D-MI10),Democrat
"Ryan, Pat",3371,3371,0,Candidate (D-NY18),Democrat
"Houlahan, Chrissy",3350,3350,0,Candidate (D-PA06),Democrat
"Parrott, Neil",3309,3309,0,Candidate (R-MD06),Republican
"Deluzio, Christopher",3302,3302,0,Candidate (D-PA17),Democrat
"Cartwright, Matt",3302,3302,0,Candidate (D-PA08),Democrat
"Davids, Sharice",3100,3100,0,Candidate (D-KS03),Democrat
"Caraveo, Yadira",3002,3002,0,Candidate (D-CO08),Democrat
"Scholten, Hillary",3000,3000,0,Candidate (D-MI03),Democrat
"Menendez, Rob",3000,0,3000,Candidate (D-NJ08),Democrat
"Helmer, Daniel",3000,3000,0,Candidate (D-VA10),Democrat
"Sanchez, Linda",3000,0,3000,Candidate (D-CA38),Democrat
"Underwood, Lauren A",2760,2760,0,Candidate (D-IL14),Democrat
"Riley, Josh",2688,2688,0,Candidate (D-NY19),Democrat
"Aguilar, Pete",2618,118,2500,Candidate (D-CA33),Democrat
M-PAC,2600,100,2500,LeadPAC,Democrat
"Britt, Katie Boyd",2562,62,2500,Candidate (R-ALS2),Republican
"Crapo, Mike",2507,7,2500,Candidate (R-IDS2),Republican
"Smith, Jason",2500,0,2500,Candidate (R-MO08),Republican
Bluegrass Cmte,2500,0,2500,LeadPAC,Republican
Evergreen PAC,2500,0,2500,LeadPAC,Democrat
"Cardenas, Tony",2500,0,2500,Candidate (D-CA29),Democrat
"Nickel, Wiley",2500,0,2500,Candidate (D-NC13),Democrat
"McHenry, Patrick",2500,0,2500,Candidate (R-NC10),Republican
"Heinrich, Martin",2500,0,2500,Candidate (D-NMS1),Democrat
"Coons, Chris",2500,0,2500,Candidate (D-DES2),Democrat
"Marshall, Roger",2500,0,2500,Candidate (R-KSS1),Republican
Building Up Democracy's Dream,2500,0,2500,LeadPAC,Republican
"Stevens, Haley",2500,2500,0,Candidate (D-MI11),Democrat
Fightin' Ninth PAC,2500,0,2500,LeadPAC,Republican
Mr Southern Missourian in the House,2500,0,2500,LeadPAC,Republican
Fair Shot PAC,2500,2500,0,LeadPAC,Democrat
"Murphy, Greg",2500,0,2500,Candidate (R-NC03),Republican
HeartDocPAC,2500,0,2500,LeadPAC,Republican
HMS SCRAP PAC                                     ,2500,2500,0,LeadPAC,Democrat
Alabama First PAC,2500,0,2500,LeadPAC,Republican
"Larson, John",2500,1000,1500,Candidate (D-CT01),Democrat
"Lankford, James",2500,0,2500,Candidate (R-OKS1),Republican
I Got Your Back PAC,2500,0,2500,LeadPAC,Democrat
Freedom Fund,2500,0,2500,LeadPAC,Republican
Luchadora PAC                                     ,2500,0,2500,LeadPAC,Democrat
"McConnell, Mitch",2500,0,2500,Candidate (R-KYS1),Republican
Fight Like Hell PAC,2310,2310,0,Carey,Democrat
"Cox, Dan",2300,2300,0,Candidate (R-MD06),Republican
Republican National Cmte,2223,2223,0,Political Party,Republican
Tarrant County Republican Victory Fund,2156,2156,0,Political Party,Republican
Democratic Party of Ohio,2075,2075,0,Political Party,Democrat
Gay & Lesbian Victory Fund,2061,2061,0,527,Liberal
"Sykes, Emilia",2021,2021,0,Candidate (D-OH13),Democrat
"Golden, Jared",2002,2002,0,Candidate (D-ME02),Democrat
We Invest in Lives & Dreams PAC,2000,2000,0,LeadPAC,Democrat
"Burgess, Michael",2000,0,2000,Candidate (R-TX26),Republican
"Correa, Lou",2000,0,2000,Candidate (D-CA46),Democrat
"O'Shea, John",2000,2000,0,Candidate (R-TX12),Republican
"Menendez, Robert",2000,0,2000,Candidate (I-NJS1),Independent
Freshman Protection PAC,2000,0,2000,LeadPAC,Democrat
Cache PAC,2000,2000,0,LeadPAC,Democrat
"Peters, Gary",2000,0,2000,Candidate (D-MIS1),Democrat
"Wyden, Ron",2000,0,2000,Candidate (D-ORS2),Democrat
"Spanberger, Abigail",1780,1780,0,Candidate (D-VA07),Democrat
"McBath, Lucy",1750,750,1000,Candidate (D-GA07),Democrat
Great American Comeback,1700,1700,0,LeadPAC,Republican
"Ehasz, Ashley",1552,1552,0,Candidate (D-PA01),Democrat
"Wicker, Roger",1506,6,1500,Candidate (R-MSS2),Republican
"Baccam, Lanon",1502,1502,0,Candidate (D-IA03),Democrat
"Min, Dave",1502,1502,0,Candidate (D-CA47),Democrat
Republican Accountability PAC,1500,1500,0,Outside Group,Bipartisan
"Young, Todd",1500,1500,0,Candidate (R-INS2),Republican
"Hudson, Richard",1500,0,1500,Candidate (R-NC09),Republican
"Morelle, Joseph D",1500,0,1500,Candidate (D-NY25),Democrat
"Samuels, Don",1500,1500,0,Candidate (D-MN05),Democrat
"Latta, Bob",1500,0,1500,Candidate (R-OH05),Republican
"Cisneros, Gil",1500,1500,0,Candidate (D-CA31),Democrat
"Moore, Blake",1500,0,1500,Candidate (R-UT01),Republican
Secure Progress,1500,1500,0,Carey,Democrat
Early Vote Action PAC,1500,1500,0,Outside Group,Conservative
"Tillis, Thom",1500,0,1500,Candidate (R-NCS1),Republican
"Harder, Josh",1500,1500,0,Candidate (D-CA09),Democrat
Rejoice PAC,1500,0,1500,LeadPAC,Republican
"Suozzi, Tom",1500,1500,0,Candidate (D-NY03),Democrat
"Shah, Amish",1500,1500,0,Candidate (D-AZ01),Democrat
"Daines, Steven",1500,0,1500,Candidate (R-MTS2),Republican
"Ocasio-Cortez, Alexandria",1482,1482,0,Candidate (D-NY14),Democrat
Save America,1380,1380,0,LeadPAC,Republican
"Klee Hood, Sarah",1278,1278,0,Candidate (D-NY22),Democrat
"Duckworth, Tammy",1125,125,1000,Candidate (D-ILS2),Democrat
"Kennedy, Robert F Jr.",1109,1109,0,Candidate (I-PRES),Independent
"Lam, Clarence",1100,1100,0,Candidate (D-MD03),Democrat
"Mucarsel-Powell, Debbie",1021,1021,0,Candidate (D-FLS1),Democrat
"O'brien, Michael",1020,1020,0,Candidate (D-PA10),Democrat
"Hertel, Curtis",1010,1010,0,Candidate (D-MI07),Democrat
"Krishnamoorthi, Raja",1008,1008,0,Candidate (D-IL08),Democrat
"Cherny, Andrei",1004,1004,0,Candidate (D-AZ01),Democrat
"Mrvan, Frank Jr",1002,2,1000,Candidate (D-IN01),Democrat
"Cotter Smasal, Missy",1002,1002,0,Candidate (D-VA02),Democrat
"Mcdonald Rivet, Kristen",1002,1002,0,Candidate (D-MI08),Democrat
"Avlon, John",1002,1002,0,Candidate (D-NY01),Democrat
"Bohannan, Christina",1002,1002,0,Candidate (D-IA01),Democrat
Golden State Democracy PAC,1000,0,1000,LeadPAC,Democrat
"Warner, Mark",1000,0,1000,Candidate (D-VAS2),Democrat
"Goldman, Dan",1000,1000,0,Candidate (D-NY10),Democrat
Synergy PAC,1000,0,1000,LeadPAC,Democrat
Generation Go,1000,0,1000,LeadPAC,Democrat
"Hoeven, John",1000,0,1000,Candidate (R-NDS1),Republican
"Smucker, Lloyd",1000,0,1000,Candidate (R-PA11),Republican
"Steel, Michelle",1000,0,1000,Candidate (R-CA45),Republican
Indiana Republican State Cmte,1000,1000,0,Political Party,Republican
Keystone America PAC,1000,0,1000,LeadPAC,Democrat
"Collins, Susan M",1000,0,1000,Candidate (R-MES2),Republican
"Kuster, Ann",1000,0,1000,Candidate (D-NH02),Democrat
"Kilmer, Derek",1000,0,1000,Candidate (D-WA06),Democrat
"Estes, Ron",1000,0,1000,Candidate (R-KS04),Republican
"Fischbach, Michelle",1000,1000,0,Candidate (R-MN07),Republican
Spike PAC,1000,0,1000,LeadPAC,Democrat
"Capito, Shelley Moore",1000,0,1000,Candidate (R-WVS2),Republican
"Balderson, Troy",1000,0,1000,Candidate (R-OH12),Republican
"Foushee, Valerie",1000,0,1000,Candidate (D-NC04),Democrat
"Vartan Iii, Gregory",1000,1000,0,Candidate (D-NJ07),Democrat
"Cassidy, Bill",1000,0,1000,Candidate (R-LAS1),Republican
"Gomez, Jimmy",1000,1000,0,Candidate (D-CA34),Democrat
"Agwan, Pervez",1000,1000,0,Candidate (D-TX07),Democrat
"Dunn, Neal",1000,0,1000,Candidate (R-FL02),Republican
All for Our Country,1000,0,1000,LeadPAC,Democrat
Nuestro PAC,1000,1000,0,Outside Group,Liberal
Tomorrow PAC (McBride),1000,0,1000,LeadPAC,Democrat
"Hirono, Mazie K",1000,0,1000,Candidate (D-HIS2),Democrat
"Veasey, Marc",1000,0,1000,Candidate (D-TX33),Democrat
Getting Stuff Done PAC,1000,0,1000,LeadPAC,Independent
Forward Blue,977,977,0,Outside Group,Liberal
"Warren, Elizabeth",923,923,0,Candidate (D-MAS1),Democrat
"Ramaswamy, Vivek",864,864,0,Candidate (R-PRES),Republican
"Dunn, Harry",852,852,0,Candidate (D-MD03),Democrat
1776 Project,800,800,0,Carey,Conservative
"Murphy, Tammy",800,800,0,Candidate (D-NJS1),Democrat
"Hawley, Josh",732,732,0,Candidate (R-MOS2),Republican
"Gaetz, Matt",664,664,0,Candidate (R-FL01),Republican
"Porter, Katie",654,654,0,Candidate (D-CA47),Democrat
"Kim, Andy",630,630,0,Candidate (D-NJ03),Democrat
"Cruz, Ted",587,587,0,Candidate (R-TXS2),Republican
"Altman, Sue",572,572,0,Candidate (D-NJ07),Democrat
"Sanders, Bernie",553,553,0,Candidate (I-VTS1),Independent
"Engel, Kirsten",529,529,0,Candidate (D-AZ06),Democrat
New Jersey Republican State Cmte,515,515,0,Political Party,Republican
"Garvey, Steve",502,502,0,Candidate (R-CAS2),Republican
Human Rights Campaign Equality Votes,500,500,0,Outside Group,Liberal
"Figures, Shomari",500,500,0,Candidate (D-AL02),Democrat
"Randall, Emily",500,500,0,Candidate (D-WA06),Democrat
Democratic State Central Cmte/Maryland,500,500,0,Political Party,Democrat
"Lofgren, Zoe",500,500,0,Candidate (D-CA18),Democrat
"Mehta, Leslie",500,500,0,Candidate (D-VA01),Democrat
"Feuer, Michael",500,500,0,Candidate (D-CA30),Democrat
"Goodlander, Maggie",500,500,0,Candidate (D-NH02),Democrat
"Gereghty, Liz",500,500,0,Candidate (D-NY17),Democrat
DASS PAC,500,500,0,Political Party,Democrat
"Castor, Kathy",500,500,0,Candidate (D-FL14),Democrat
"Fulcher, Russ",500,500,0,Candidate (R-ID01),Republican
"Marlinga, Carl",500,500,0,Candidate (D-MI10),Democrat
"Swartz, Jessica",500,500,0,Candidate (D-MI04),Democrat
"Huffman, John",500,500,0,Candidate (R-TX26),Republican
"Fetterman, John",492,492,0,Candidate (D-PAS1),Democrat
"Kaplan, Anna",450,450,0,Candidate (D-NY03),Democrat
"Rubio, Marco",425,425,0,Candidate (R-FLS2),Republican
Movement Voter PAC,425,425,0,Carey,Liberal
PAC to the Future,424,424,0,LeadPAC,Democrat
"Tlaib, Rashida",400,400,0,Candidate (D-MI12),Democrat
"Elfreth, Sarah",400,400,0,Candidate (D-MD03),Democrat
"Frisch, Adam",392,392,0,Candidate (D-CO03),Democrat
Senate Majority PAC,360,360,0,Outside Group,Liberal
"Lake, Kari",336,336,0,Candidate (R-AZS2),Republican
"Jeffries, Hakeem",328,328,0,Candidate (D-NY08),Democrat
"Pelosi, Nancy",325,325,0,Candidate (D-CA11),Democrat
"Donalds, Byron",325,325,0,Candidate (R-FL19),Republican
"Rogers, Mike",324,324,0,Candidate (R-MIS2),Republican
"Lyerly, Kristin",320,320,0,Candidate (D-WI08),Democrat
Powered By People,277,277,0,Carey,Democrat
DLCC PAC,276,276,0,Political Party,Democrat
"McBride, Sarah",275,275,0,Candidate (D-DE01),Democrat
Indivisible Action,260,260,0,Carey,Liberal
"Hayes, Jahana",252,252,0,Candidate (D-CT05),Democrat
"Tranel, Monica",252,252,0,Candidate (D-MT01),Democrat
"Barca, Peter William",250,250,0,Candidate (D-WI01),Democrat
"Horn, Madison",250,250,0,Candidate (D-OK05),Democrat
"Moore, Michael",250,250,0,Candidate (D-SC01),Democrat
"Sheehy, Tim",250,250,0,Candidate (R-MTS1),Republican
"Hurt, Erik David",250,250,0,Candidate (D-IN08),Democrat
"Srivastava, Sandeep",250,250,0,Candidate (D-TX03),Democrat
Westmoreland Democratic Cmte,250,250,0,Political Party,Democrat
"Patel, Bhavini",250,250,0,Candidate (D-PA12),Democrat
"Lee, Barbara",250,250,0,Candidate (D-CA12),Democrat
"Klobuchar, Amy",250,250,0,Candidate (D-MNS2),Democrat
"Greene, Marjorie Taylor",250,250,0,Candidate (R-GA14),Republican
"Harrigan, Pat",250,250,0,Candidate (R-NC10),Republican
"Booker, Cory",250,250,0,Candidate (D-NJS2),Democrat
"Gonzales, Tony",250,250,0,Candidate (R-TX23),Republican
"Trone, David",245,245,0,Candidate (D-MD06),Democrat
"Johnson, Gloria",230,230,0,Candidate (D-TNS1),Democrat
"Kiley, Kevin",225,225,0,Candidate (R-CA03),Republican
"Young, Eugene",225,225,0,Candidate (D-DE01),Democrat
"Tuberville, Tommy",210,210,0,Candidate (R-ALS1),Republican
"Raskin, Jamie",200,200,0,Candidate (D-MD08),Democrat
Protect the Vote,200,200,0,Outside Group,Liberal
"Hill, Kyle",200,200,0,Candidate (D-NY01),Democrat
"Omar, Ilhan",185,185,0,Candidate (D-MN05),Democrat
"Paul, Rand",175,175,0,Candidate (R-KYS2),Republican
"Warnock, Raphael",173,173,0,Candidate (D-GAS2),Democrat
"Whitesides, George",171,171,0,Candidate (D-CA27),Democrat
Midwest Values PAC,165,165,0,LeadPAC,Democrat
"McCormick, Dave",154,154,0,Candidate (R-PAS2),Republican
Champion American Values,152,152,0,Carey,Republican
"Mannion, John",152,152,0,Candidate (D-NY22),Democrat
Our Great Task,150,150,0,Outside Group,Conservative
"Whitehouse, Sheldon",150,150,0,Candidate (D-RIS1),Democrat
Democratic Party of Wisconsin,129,129,0,Political Party,Democrat
"McGovern, James P",125,125,0,Candidate (D-MA02),Democrat
Campaign for Democracy PAC,125,125,0,Carey,Democrat
"Biggs, Andy",125,125,0,Candidate (R-AZ05),Republican
Frankman for Florida,114,114,0,,No View
"Kunce, Lucas",112,112,0,Candidate (D-MOS2),Democrat
"Jordan, Jim",110,110,0,Candidate (R-OH04),Republican
"Barrett, Tom",109,109,0,Candidate (R-MI07),Republican
"Merkley, Jeff",105,105,0,Candidate (D-ORS1),Democrat
"Hutchinson, W. Asa",101,101,0,Candidate (R-PRES),Republican
"Harris, Shawn",100,100,0,Candidate (D-GA14),Democrat
"Hook Dr., Kristin",100,100,0,Candidate (D-TX21),Democrat
National Democrats PAC,100,100,0,Outside Group,Liberal
"Dixon, Gregg",100,100,0,Candidate (3-SC06),Other Party
"LaLota, Nick",100,100,0,Candidate (R-NY01),Republican
"Blumenthal, Richard",100,100,0,Candidate (D-CTS2),Democrat
"Rogers, Michael",100,100,0,Candidate (D-MD03),Democrat
"Frost, Maxwell",97,97,0,Candidate (D-FL10),Democrat
Voters First Victory Fund,95,95,0,Outside Group,Liberal
"Crane, Eli",90,90,0,Candidate (R-AZ02),Republican
"Gillibrand, Kirsten",85,85,0,Candidate (D-NYS1),Democrat
"Gray, Adam",81,81,0,Candidate (D-CA13),Democrat
"Bowman, Jamaal",80,80,0,Candidate (D-NY16),Democrat
"Christie, Chris",79,79,0,Candidate (R-PRES),Republican
Moms Fed Up PAC,75,75,0,LeadPAC,Democrat
"Ossoff, Jon",72,72,0,Candidate (D-GAS1),Democrat
Serve America PAC,70,70,0,LeadPAC,Democrat
"Moulton, Seth",63,63,0,Candidate (D-MA06),Democrat
"Schumer, Charles E",63,63,0,Candidate (D-NYS2),Democrat
"Kennedy, John",60,60,0,Candidate (R-LAS2),Republican
"Elder, Larry",59,59,0,Candidate (R-PRES),Republican
"Dexter, Maxine",55,55,0,Candidate (D-OR03),Democrat
Redwave America PAC                ,50,50,0,Outside Group,Conservative
AmeriPAC: The Fund for a Greater America,50,50,0,LeadPAC,Democrat
"Evans, Derrick",50,50,0,Candidate (R-WV01),Republican
CatholicVote.org,50,50,0,Outside Group,Conservative
"Rosendale, Matt",50,50,0,Candidate (R-MT02),Republican
"Vance, J D",50,50,0,Candidate (R-OHS2),Republican
"Jackson, Jeff",50,50,0,Candidate (D-NC14),Democrat
"Peterson, Kaylee",50,50,0,Candidate (D-ID01),Democrat
"White, Royce",50,50,0,Candidate (R-MNS2),Republican
"Crockett, Jasmine",50,50,0,Candidate (D-TX30),Democrat
"Sewell, Briana",50,50,0,Candidate (D-VA07),Democrat
"Kelly, Mark",45,45,0,Candidate (D-AZS1),Democrat
"Hunt, Cheyenne",40,40,0,Candidate (D-CA45),Democrat
"Hagerty, Bill",40,40,0,Candidate (R-TNS2),Republican
"McCorkle, Ike",40,40,0,Candidate (D-CO04),Democrat
"Pinkins, Ty",39,39,0,Candidate (D-MSS2),Democrat
"Garcia, Mike",38,38,0,Candidate (R-CA27),Republican
"McCray, Valerie",35,35,0,Candidate (D-INS1),Democrat
November Coalition,35,35,0,Outside Group,Liberal
"Scott, Rick",33,33,0,Candidate (R-FLS1),Republican
"Lee, Summer",33,33,0,Candidate (D-PA12),Democrat
Elect Dems Now PAC,30,30,0,LeadPAC,Democrat
"Martin, Isaiah",30,30,0,Candidate (D-TX18),Democrat
"Rollins, Will",29,29,0,Candidate (D-CA41),Democrat
"Calvarese, Trisha",28,28,0,Candidate (D-CO04),Democrat
"Flores, Mayra",26,26,0,Candidate (R-TX34),Republican
"Roca, Mariela",26,26,0,Candidate (R-MD06),Republican
Black Men Vote,25,25,0,Outside Group,Liberal
"James, John",25,25,0,Candidate (R-MI10),Republican
"Vogel, Joseph",25,25,0,Candidate (D-MD06),Democrat
Republican Party of Virginia,25,25,0,Political Party,Republican
"Cash, Tambrei",25,25,0,Candidate (D-GA09),Democrat
Democratic Turnout Project PAC,25,25,0,LeadPAC,Democrat
"Pence, Mike",25,25,0,Candidate (R-PRES),Republican
"Morrison, Kelly",25,25,0,Candidate (D-MN03),Democrat
"Hernandez Rivera, Pablo Jose",25,25,0,Candidate (3-PR00),Other Party
Friends of Jimmy Patronis,25,25,0,,No View
"Conaway, Herb",25,25,0,Candidate (D-NJ03),Democrat
"Ehr, Phil",25,25,0,Candidate (D-FL28),Democrat
"Hickenlooper, John",25,25,0,Candidate (D-COS2),Democrat
"Eppler, Sam",25,25,0,Candidate (D-TX24),Democrat
"Johnson, Ron",25,25,0,Candidate (R-WIS2),Republican
"Stefanik, Elise",25,25,0,Candidate (R-NY21),Republican
"Sites, Jeffrey",25,25,0,Candidate (D-OH04),Democrat
"Qarni, Atif",25,25,0,Candidate (D-VA10),Democrat
